latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
0.77632,127.37295,311.62,1,1,2026-05-22,0024,T,0,6.1NRT,296.42,6.86,D
-2.57374,121.37515,311.19,1.77,1.3,2026-05-22,0024,T,55,6.1NRT,290.18,14.35,D
-2.58517,121.37318,312.68,1.77,1.3,2026-05-22,0024,T,66,6.1NRT,290.39,17.12,D
51.2707,130.11932,338.63,2.29,1.46,2026-05-22,0009,T,60,6.1NRT,268.78,131.83,D
-12.60187,131.213,311.68,2.42,1.5,2026-05-22,0026,T,67,6.1NRT,294.64,26.48,D
-12.60448,131.23488,308.81,2.43,1.5,2026-05-22,0026,T,60,6.1NRT,294.51,19.72,D
51.26894,130.15154,352.4,2.28,1.46,2026-05-22,0009,T,86,6.1NRT,272.11,215.94,D
-31.03697,117.77711,300.94,1.11,1.05,2026-05-22,0033,T,43,6.1NRT,283.43,6.77,D
51.26719,130.18359,328.86,2.27,1.46,2026-05-22,0009,T,37,6.1NRT,271.29,82.05,D
-12.60066,131.22855,312.33,2.43,1.5,2026-05-22,0026,T,68,6.1NRT,294.73,26.3,D
51.26543,130.21561,308.73,2.26,1.46,2026-05-22,0009,T,32,6.1NRT,272.26,28.09,D
-13.15131,131.77092,317.8,2.73,1.58,2026-05-22,0026,T,74,6.1NRT,295.5,43.95,D
51.25771,130.11781,324.21,2.29,1.46,2026-05-22,0009,T,33,6.1NRT,268.85,67.2,D
-13.1542,131.79538,314.25,2.74,1.58,2026-05-22,0026,T,69,6.1NRT,295.18,31.9,D
51.25597,130.15002,354.62,2.28,1.46,2026-05-22,0009,T,94,6.1NRT,271.48,228.12,D
-13.14526,131.7908,312.91,2.74,1.58,2026-05-22,0026,T,66,6.1NRT,295.99,28.04,D
-13.15927,131.78922,311.09,2.74,1.58,2026-05-22,0026,T,52,6.1NRT,294.94,20.96,D
51.25425,130.18208,364.95,2.27,1.46,2026-05-22,0009,T,100,6.1NRT,273.9,313.2,D
-13.19339,130.81966,331.37,2.29,1.47,2026-05-22,0026,T,86,6.1NRT,295.2,90.28,D
51.25251,130.21408,336.02,2.26,1.46,2026-05-22,0009,T,74,6.1NRT,273.46,114.24,D
-13.19586,130.84033,319.85,2.3,1.47,2026-05-22,0026,T,77,6.1NRT,294.94,46.54,D
51.2413,130.18051,334.85,2.27,1.46,2026-05-22,0009,T,34,6.1NRT,270.91,96.98,D
51.23958,130.21259,341.63,2.26,1.46,2026-05-22,0009,T,91,6.1NRT,273.18,142.69,D
-13.20635,130.81815,355.68,2.29,1.47,2026-05-22,0026,T,98,6.1NRT,295.69,239.23,D
61.46186,134.78696,311.71,1.84,1.33,2026-05-22,0007,T,70,6.1NRT,293.94,18.1,D
51.22665,130.21109,317.64,2.26,1.46,2026-05-22,0009,T,70,6.1NRT,271.45,49.48,D
-13.19197,130.81418,318.15,2.29,1.47,2026-05-22,0026,T,75,6.1NRT,294.54,39.41,D
53.62651,133.03403,305.09,1.75,1.3,2026-05-22,0009,T,61,6.1NRT,288.3,13,D
51.18137,130.3329,301.12,2.23,1.45,2026-05-22,0009,T,45,6.1NRT,272.34,16.13,D
-13.19427,130.83484,325.58,2.3,1.47,2026-05-22,0026,T,82,6.1NRT,295.29,65.11,D
52.47779,136.61224,321.67,1.2,1.09,2026-05-22,0009,T,0,6.1NRT,294.68,22.45,D
51.05052,132.32988,303.95,1.76,1.3,2026-05-22,0009,T,41,6.1NRT,288.3,10.41,D
-13.20492,130.81261,350.59,2.29,1.47,2026-05-22,0026,T,96,6.1NRT,295.36,197.37,D
-13.20727,130.83351,327.69,2.3,1.47,2026-05-22,0026,T,83,6.1NRT,295.04,71.47,D
51.15637,130.32402,305.34,2.23,1.45,2026-05-22,0009,T,61,6.1NRT,272.92,23.46,D
52.54212,130.61008,304.65,2.23,1.45,2026-05-22,0009,T,59,6.1NRT,283.14,18.09,D
-13.43938,132.12444,307.57,2.94,1.63,2026-05-22,0026,T,56,6.1NRT,293.98,19.37,D
51.15463,130.35527,312.28,2.22,1.44,2026-05-22,0009,T,72,6.1NRT,273.72,38.55,D
52.54044,130.64244,306.67,2.22,1.44,2026-05-22,0009,T,64,6.1NRT,283.83,21.58,D
-13.40523,130.84575,316.85,2.32,1.47,2026-05-22,0026,T,74,6.1NRT,295.26,34.92,D
